cid,character,movement_type,score,confidence,distance_tier,source_kind,src_slot,dst_slot,dst_bank,target_cid,target_character,target_bank_kind,target_resolution_status,predicate_text,predicate_kind,predicate_args,animation_hex,animation_length,has_attack_cell,cells,mot_status,mot_size,mot_sha1,mot_entropy,shared_character_count,shared_characters,common_bank_size,common_bank_sha1,reason
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,258,259,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0006 0x0001,0318,100.0,True,26 27 -1 -1 -1 -1,character_motion_section,8536,ef0de89d531826d6c9fcf16c60ef0e7276adba31,7.9045,1,001,,,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,261,263,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0020 0x0001 0x000E,028F,100.0,False,-1 -1 -1 -1 -1 -1,character_motion_section,3712,a948cb50012034d27b0e4d01cfc424f5d936300a,7.8557,1,001,29832,600170c68040fe1d57c1fd8402810bf06a3617f1,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,268,269,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0020 0x0001 0x000F,01D4,100.0,False,-1 -1 -1 -1 -1 -1,character_motion_section,3008,f7b23125f3fed4786e12935490b2db1232f5a246,7.8356,1,001,3216,4e52d096e8decdc36baca620935b8fa649d16e95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,361,362,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0020 0x0001 0x0013,01D6,100.0,False,-1 -1 -1 -1 -1 -1,character_motion_section,3472,745c07dfdddd9a5392c27e4c7ca5d8625f17d12c,7.8812,1,001,1952,9742a75cf07887473f32bf994e12385d0df77e7d,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,372,374,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0020 0x0001 0x000F,01D4,100.0,False,-1 -1 -1 -1 -1 -1,character_motion_section,3008,f7b23125f3fed4786e12935490b2db1232f5a246,7.8356,1,001,3216,4e52d096e8decdc36baca620935b8fa649d16e95,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,406,418,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0006 0x0001,02DE,100.0,True,191 -1 -1 -1 -1 -1,character_motion_section,5664,7f1c1c4422cd90a9bf7fc91b02220e2c26c03389,7.8805,1,001,21144,95580222c9cd3e8089e6b79f75bbbec5fd49ba31,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,413,418,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0006 0x0001,02DE,100.0,True,191 -1 -1 -1 -1 -1,character_motion_section,5664,7f1c1c4422cd90a9bf7fc91b02220e2c26c03389,7.8805,1,001,21144,95580222c9cd3e8089e6b79f75bbbec5fd49ba31,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,414,418,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0006 0x0001,02DE,100.0,True,191 -1 -1 -1 -1 -1,character_motion_section,5664,7f1c1c4422cd90a9bf7fc91b02220e2c26c03389,7.8805,1,001,21144,95580222c9cd3e8089e6b79f75bbbec5fd49ba31,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,415,418,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0006 0x0001,02DE,100.0,True,191 -1 -1 -1 -1 -1,character_motion_section,5664,7f1c1c4422cd90a9bf7fc91b02220e2c26c03389,7.8805,1,001,21144,95580222c9cd3e8089e6b79f75bbbec5fd49ba31,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
001,Mitsurugi,backstep_candidate,95,inferred_static,relative_authored_difference_no_exact_distance,direction_transition,416,418,0,001,Mitsurugi,local,resolved_local,(any:back),direction,0x0006 0x0001,02DE,100.0,True,191 -1 -1 -1 -1 -1,character_motion_section,5664,7f1c1c4422cd90a9bf7fc91b02220e2c26c03389,7.8805,1,001,21144,95580222c9cd3e8089e6b79f75bbbec5fd49ba31,MoveVM transition is gated by decoded direction predicate; packed move id resolves through this character's FLuxMoveBank buckets; predicate maps to one primary direction; cell references are classified later by route trust; destination has a concrete motion id; local MOT section is non-empty
