cid,character,movement_type,src_slot,dst_slot,animation_hex,predicate_text,source_is_neutral,source_is_stance_root,same_bank,motion_decoded,root_curve_status,cell_count,offensive_cell_count,earliest_offensive_cell_frame,earliest_return_or_guard_frame,earliest_stance_return_frame,earliest_unresolved_recovery_frame,recovery_trust_status,recovery_trust_confidence,target_cid,target_character,target_bank_kind,target_resolution_status,trust_status,trust_score,trust_reason
001,Mitsurugi,backstep_candidate,261,263,028F,(any:back),True,True,True,True,decoded_root_motion,0,0,,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,trusted_basic,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,backstep_candidate,372,374,01D4,(any:back),True,True,True,True,decoded_root_motion,0,0,,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,trusted_basic,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,backstep_candidate,418,419,028D,(any:back),True,True,True,True,decoded_root_motion,0,0,,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,trusted_basic,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,backstep_candidate,406,418,02DE,(any:back),True,True,True,True,decoded_root_motion,1,1,15,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,unresolved,155,offensive cells exist and no static return/recovery frame is known
001,Mitsurugi,backstep_candidate,413,418,02DE,(any:back),True,True,True,True,decoded_root_motion,1,1,15,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,unresolved,155,offensive cells exist and no static return/recovery frame is known
001,Mitsurugi,backstep_candidate,414,418,02DE,(any:back),True,False,True,True,decoded_root_motion,1,1,15,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,unresolved,155,offensive cells exist and no static return/recovery frame is known
001,Mitsurugi,backstep_candidate,415,418,02DE,(any:back),True,False,True,True,decoded_root_motion,1,1,15,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,unresolved,155,offensive cells exist and no static return/recovery frame is known
001,Mitsurugi,backstep_candidate,416,418,02DE,(any:back),True,True,True,True,decoded_root_motion,1,1,15,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,unresolved,155,offensive cells exist and no static return/recovery frame is known
001,Mitsurugi,backstep_candidate,418,418,02DE,(any:back),True,True,True,True,decoded_root_motion,1,1,15,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,unresolved,155,offensive cells exist and no static return/recovery frame is known
001,Mitsurugi,backstep_candidate,418,420,019D,(any:back),True,True,True,True,decoded_root_motion,1,1,9,,,,unknown_from_static_bytecode,unknown,001,Mitsurugi,local,resolved_local,unresolved,155,offensive cells exist and no static return/recovery frame is known
