cid,character,movement_type,src_slot,dst_slot,animation_hex,predicate_text,has_attack_cell,route_kind,root_decode_confidence,recovery_trust_status,recovery_trust_confidence,selection_score,selection_reason
001,Mitsurugi,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
001,Mitsurugi,backstep_candidate,261,263,028F,(any:back),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,eight_way_or_ambiguous,161,164,0204,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,forward_diagonal,406,427,01A1,(forward+up),False,trusted_basic,high,unknown_from_static_bytecode,unknown,198,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,forward_step_candidate,363,366,01D5,(any:forward),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,sidestep_down_candidate,406,428,01AF,(any:down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,205,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
001,Mitsurugi,sidestep_up_candidate,406,423,0316,(any:up),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,back_diagonal,,,,,False,unresolved,unknown,unknown_no_static_route,unknown,0,no direction-gated route found for this movement type
002,Seong Mi-na,backstep_candidate,258,259,00FE,(any:back),True,unresolved,high,unknown_from_static_bytecode,unknown,155,offensive cells exist and no static return/recovery frame is known
002,Seong Mi-na,eight_way_or_ambiguous,161,164,00F2,(any:back|forward|down),False,trusted_basic,high,unknown_from_static_bytecode,unknown,182,direct movement predicate; same-bank route; root motion decoded; source is neutral-like; no active offensive cells on destination slot
